WOJ,POW,NAZWA
2,8,Piaskowice
2,8,Jaworek
2,8,Niemojów
2,8,Pisary
2,8,Smreczyna
2,7,Raszów
2,7,Błażejów
2,7,Okrzeszyn
2,7,Paczyn
2,12,Ustronie
2,12,Grudza
2,12,Karłowiec
2,16,Grodowiec
2,16,Kaźmierzów
2,2,Przerzeczyn-Zdrój
2,18,Piotrowice
2,10,Jałowiec
2,10,Przylasek
2,10,Nowa Karczma
2,10,Rudzica
2,12,Radomice
2,18,Rakoszyce
2,18,Słup
2,18,Święte
2,18,Wrocisławice
2,18,Zakrzów
2,18,Dziwigórz
2,2,Przystronie
2,2,Ratajno
2,18,Lipnica
2,11,Krzeczyn Wielki
2,11,Raszówka
2,11,Lisiec
2,11,Obora
2,12,Pławna Dolna
2,4,Niechlów
2,20,Borek
2,8,Boboszów
2,9,Koskowice
2,13,Piękocin
2,13,Poradów
2,14,Drołtowice
2,14,Komorów
2,14,Nowy Dwór
2,14,Szczodrów
2,17,Lipowa
2,17,Podgaj
2,17,Dobroszów
2,7,Ogorzelec
2,4,Czarnoborsko
2,1,Kraśnik Dolny
2,1,Nowa Wieś
2,21,Kolce
2,12,Chmielno
2,12,Dębowy Gaj
2,12,Radłówka
2,17,Jagielno
2,17,Kuropatnik
2,17,Muchowiec
2,8,Stary Waliszów
2,8,Wilkanów
2,8,Krosnowice
2,8,Ołdrzychowice Kłodzkie
2,8,Podzamek
2,8,Ruszowice
2,3,Grochowice
2,3,Kotowice
2,13,Stawiec
2,13,Wałkowa
2,9,Okmiany
2,17,Brożec
2,19,Skarżyce
2,19,Tomkowice
2,19,Krzczonów
2,19,Lubachów
2,9,Golanka Dolna
2,9,Mierzowice
2,10,Bartoszówka
2,10,Kościelniki Górne
2,18,Wichrów
2,16,Jabłonów
2,24,Jemna
2,24,Różana
2,15,Gęsice
2,16,Koźlice
2,13,Latkowa
2,13,Łąki
2,13,Miłochowice
2,13,Nowy Zamek
2,18,Cesarzowice
2,20,Raszów
2,20,Świątniki
2,20,Malin
2,23,Domanice
2,2,Mościsko
2,23,Wojnarowice
2,23,Biestrzyków
2,23,Radomierzyce
2,19,Marcinowiczki
2,19,Mikoszowa
2,13,Dziadkowo
2,13,Guzowice
2,13,Czeszyce
2,13,Stara Huta
2,13,Świebodów
2,10,Kościelniki Dolne
2,10,Radostów Średni
2,20,Psary
2,20,Rzędziszowice
2,13,Wrocławice
2,17,Opatowice
2,17,Piotrków Borowski
2,17,Stogi
2,17,Błotnica
2,17,Karczyn
2,23,Kamień
2,23,Kiełczów
2,11,Siedlce
2,11,Ustronie
2,14,Stradomia Dolna
2,14,Hałdrychowice
2,23,Cesarzowice
2,18,Chomiąża
2,18,Wilczków
2,20,Sędzice
2,20,Tarnowiec
2,23,Gniechowice
2,23,Olbrachtowice
2,23,Ręków
2,20,Głuchów Górny
2,20,Koczurki
2,23,Mleczna
2,23,Tomice
2,8,Lutynia
2,8,Trzebieszowice
2,23,Ratowice
2,23,Borowa
2,23,Budziwojowice
2,23,Byków
2,4,Bieliszów
2,4,Ciechanów
2,21,Michałkowa
2,22,Godzięcin
2,22,Pogalewo Małe
2,22,Aleksandrowice
2,8,Długopole-Zdrój
2,8,Gorzanów
2,22,Kleszczowice
2,7,Nagórnik
2,7,Świdnik
2,22,Smogorzów Wielki
2,22,Wyszęcice
2,14,Kijowice
2,19,Pożarzysko
2,17,Brzoza
2,17,Jelenin
2,8,Jawornica
2,8,Jerzykowice Małe
2,8,Darnków
2,16,Pieszkowice
2,16,Jędrzychówek
2,16,Piotrowice
2,25,Bielawa Dolna
2,4,Drozdowice Małe
2,4,Wodniki
2,14,Niwki Kraszowskie
